timestamp,gpu_index,gpu_name,gpu_utilization_pct,memory_used_MiB,memory_total_MiB
2026/03/14 00:01:01.722, 0, NVIDIA GH200 120GB, 0, 6055, 97871
2026/03/14 00:01:01.726, 1, NVIDIA GH200 120GB, 3, 6055, 97871
2026/03/14 00:01:01.729, 2, NVIDIA GH200 120GB, 0, 6055, 97871
2026/03/14 00:01:01.745, 3, NVIDIA GH200 120GB, 0, 6055, 97871
2026/03/14 00:01:04.939, 0, NVIDIA GH200 120GB, 1, 6055, 97871
2026/03/14 00:01:04.943, 1, NVIDIA GH200 120GB, 1, 6055, 97871
2026/03/14 00:01:04.946, 2, NVIDIA GH200 120GB, 1, 6055, 97871
2026/03/14 00:01:04.948, 3, NVIDIA GH200 120GB, 0, 6055, 97871
2026/03/14 00:01:08.124, 0, NVIDIA GH200 120GB, 0, 6055, 97871
2026/03/14 00:01:08.134, 1, NVIDIA GH200 120GB, 0, 6055, 97871
2026/03/14 00:01:08.141, 2, NVIDIA GH200 120GB, 0, 6055, 97871
2026/03/14 00:01:08.144, 3, NVIDIA GH200 120GB, 0, 6055, 97871
2026/03/14 00:01:11.362, 0, NVIDIA GH200 120GB, 0, 6885, 97871
2026/03/14 00:01:11.367, 1, NVIDIA GH200 120GB, 0, 6885, 97871
2026/03/14 00:01:11.369, 2, NVIDIA GH200 120GB, 0, 6885, 97871
2026/03/14 00:01:11.372, 3, NVIDIA GH200 120GB, 0, 6885, 97871
2026/03/14 00:01:14.594, 0, NVIDIA GH200 120GB, 0, 6885, 97871
2026/03/14 00:01:14.598, 1, NVIDIA GH200 120GB, 0, 6885, 97871
2026/03/14 00:01:14.600, 2, NVIDIA GH200 120GB, 0, 6885, 97871
2026/03/14 00:01:14.602, 3, NVIDIA GH200 120GB, 0, 6885, 97871
2026/03/14 00:01:17.824, 0, NVIDIA GH200 120GB, 0, 6885, 97871
2026/03/14 00:01:17.827, 1, NVIDIA GH200 120GB, 0, 6885, 97871
2026/03/14 00:01:17.829, 2, NVIDIA GH200 120GB, 0, 6885, 97871
2026/03/14 00:01:17.831, 3, NVIDIA GH200 120GB, 0, 6885, 97871
2026/03/14 00:01:21.030, 0, NVIDIA GH200 120GB, 0, 6885, 97871
2026/03/14 00:01:21.038, 1, NVIDIA GH200 120GB, 0, 6885, 97871
2026/03/14 00:01:21.040, 2, NVIDIA GH200 120GB, 0, 6885, 97871
2026/03/14 00:01:21.042, 3, NVIDIA GH200 120GB, 0, 6885, 97871
2026/03/14 00:01:24.266, 0, NVIDIA GH200 120GB, 0, 6885, 97871
2026/03/14 00:01:24.268, 1, NVIDIA GH200 120GB, 0, 6885, 97871
2026/03/14 00:01:24.270, 2, NVIDIA GH200 120GB, 0, 6885, 97871
